伝票番号,明細番号,要求明細番号,営業日付,開店回数,店舗コード,店舗名,明細区分,商品コード,バーコード,商品名,仕入先名,部門名,分類１名,原価,商品管理区分,標準金額,標準税額,税率,販売金額,販売税額,数量,小計金額,小計税額,P/S区分,按分後金額,按分後税額,値引区分,部門販売フラグ,免税用商品区分,軽減税率対象品,伝票引除外,売上報告控除区分,(伝)現金,(伝)クレジット,(伝)売掛,(伝)その他,登録日時
4301465,1,1,20260208,1,01001050,FUNイオンモール各務原,0,1107133041120,2900000193451,147382ﾈｸﾀｲﾂｷBL,株式会社パパヴェル,TC,OFF,1030.00,1,2999,299,10,2999,299,1,2999,299,1,3298,299,0,0,0,0,0,0,0,0,0,3300,2026/02/08 20:13:48
4301463,1,1,20260208,1,01001054,FUNエミテラス所沢,0,1109123099013,2900000191167,F-0202ｻｲﾄﾞｶｯﾄﾘﾎﾞﾝPT,株式会社フラワージーンズ,TC,BLACK,1340.00,1,3599,359,10,3599,359,1,3599,359,1,3958,359,0,0,0,0,0,0,0,0,0,3958,2026/02/08 20:13:20
4301462,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1110014091910,2900000189287,2285868ﾊﾞｯｸｸﾛｽｼﾞｯﾌﾟPK,サンフォード株式会社,TC,GRAY,1300.00,1,1599,159,10,1599,159,1,1599,159,1,1758,159,0,0,0,0,0,0,0,0,0,1758,2026/02/08 20:10:29
4301461,1,1,20260208,1,01001056,FUNイオンモール岡山,0,1505151005010,2900000192331,780507ﾌｸﾚﾛｺﾞCS,株式会社パボ,ガーリー,BLACK,780.00,1,2399,239,10,2399,239,1,2399,239,1,2638,239,0,0,0,0,0,0,0,0,0,4837,2026/02/08 20:07:43
4301461,2,2,20260208,1,01001056,FUNイオンモール岡山,0,1505014014130,2900000192447,216110ｿﾃﾞﾘﾎﾞﾝﾒﾛｰPO,サンフォード株式会社,ガーリー,IV,750.00,1,1999,199,10,1999,199,1,1999,199,1,2199,200,0,0,0,0,0,0,0,0,0,4837,2026/02/08 20:07:43
4301456,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1110014091650,2900000189270,2285868ﾊﾞｯｸｸﾛｽｼﾞｯﾌﾟPK,サンフォード株式会社,TC,Camouflage,1300.00,1,1599,159,10,1599,159,1,1599,159,1,1758,159,0,0,0,0,0,0,0,0,0,5060,2026/02/08 20:09:00
4301455,1,1,20260208,1,01001043,FUNららぽーと愛知東郷,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,3320,2026/02/08 20:09:41
4301455,2,2,20260208,1,01001043,FUNららぽーと愛知東郷,0,1113050062310,2900000181427,TGDK379ﾀﾞﾌﾞﾙﾎﾟｹｯﾄﾊﾞｯｸ,株式会社トップ,TC,BROWN,1150.00,1,2999,299,10,2999,299,1,2999,299,1,3298,299,0,0,0,0,0,0,0,0,0,3320,2026/02/08 20:09:41
4301453,1,1,20260208,1,01001046,FUNららぽーとEXPOCITY,0,1115158004013,2900000190535,2458TRｶｽﾀﾑｽﾆｰｶｰ,株式会社ﾐｭｰﾃｰｼｮﾝ,TC,BLACK,1750.00,1,4599,459,10,4599,459,1,4599,459,1,5058,459,0,0,0,0,0,0,0,0,0,10080,2026/02/08 20:08:05
4301453,2,2,20260208,1,01001046,FUNららぽーとEXPOCITY,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,10080,2026/02/08 20:08:05
4301450,1,1,20260208,1,01001009,FUN千葉C-one,0,1110145020130,2900000191594,140505ﾗﾋﾞｯﾄﾄﾘｵPO,株式会社クロスツー,TC,IV,1050.00,1,2599,259,10,2599,259,1,2599,259,1,2858,259,0,0,0,0,0,0,0,0,0,2858,2026/02/08 20:02:56
4301449,1,1,20260208,1,01001009,FUN千葉C-one,0,1105156007010,2900000191976,TR-014ﾄﾞﾛｽﾄWｼｬｰﾘﾝｸﾞPO,株式会社グッドクローズ,TC,BLACK,930.00,1,2799,279,10,2799,279,1,2799,279,1,3078,279,0,0,0,0,0,0,0,0,0,3078,2026/02/08 20:01:35
4301448,1,1,20260208,1,01001009,FUN千葉C-one,0,1508049017012,2900000190771,22298ﾏｰﾒｲﾄﾞSK,株式会社パンプキン,ガーリー,BLACK,1180.00,1,999,99,10,999,99,1,999,99,1,1099,100,0,0,0,0,0,0,0,0,0,2857,2026/02/08 20:00:16
4301448,2,2,20260208,1,01001009,FUN千葉C-one,0,1115147023013,2900000182738,2288TRﾛﾝｸﾞﾌﾞｰﾂ,株式会社LEON,TC,BLACK,2150.00,1,1599,159,10,1599,159,1,1599,159,1,1758,159,0,0,0,0,0,0,0,0,0,2857,2026/02/08 20:00:16
4301446,1,1,20260208,1,01001052,FUNイオンモール四條畷,0,1502080012720,2900000191921,TR-0328ﾏﾙﾁｳｪｲCD,株式会社ケイスタイル,ガーリー,NV,1380.00,1,3599,359,10,3599,359,1,3599,359,1,3958,359,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:00:24
4301446,2,2,20260208,1,01001052,FUNイオンモール四條畷,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:00:24
4301446,3,3,20260208,1,01001052,FUNイオンモール四條畷,0,1508049020013,2900000193215,36271ｻｲﾄﾞWﾍﾞﾙﾄSK,株式会社パンプキン,ガーリー,BLACK,1130.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,10000,2026/02/08 20:00:24
4301445,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1504080024010,2900000191945,TR-0330ｹｰﾌﾞﾙﾌｰﾄﾞKT,株式会社ケイスタイル,ガーリー,BLACK,1180.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,13196,2026/02/08 20:02:02
4301445,2,2,20260208,1,01001036,FUNイオンレイクタウン,0,1103123009013,2900000194861,F-0206Gｼﾞｬﾝ,株式会社フラワージーンズ,TC,BLACK,1570.00,1,4399,439,10,4399,439,1,4399,439,1,4839,440,0,0,0,0,0,0,0,0,0,13196,2026/02/08 20:02:02
4301445,3,3,20260208,1,01001036,FUNイオンレイクタウン,0,1115147018015,2900000167889,2252TRｱﾂｿﾞｺﾀﾞｯﾄﾞｽﾆｰｶｰ,株式会社LEON,TC,BLACK,1900.00,1,4599,459,10,4599,459,1,4599,459,1,5058,459,0,0,0,0,0,0,0,0,0,13196,2026/02/08 20:02:02
4301443,1,1,20260208,1,01001039,FUNイオンモールむさし村山,0,1110149020650,2900000191778,450689ﾊﾞｯｸｽﾄｰﾝPO,株式会社FUSION,TC,Camouflage,1050.00,1,1399,139,10,1399,139,1,1399,139,1,1538,139,0,0,0,0,0,0,0,0,0,1610,2026/02/08 19:59:33
4301443,2,2,20260208,1,01001039,FUNイオンモールむさし村山,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,1610,2026/02/08 19:59:33
4301442,1,1,20260208,1,01001009,FUN千葉C-one,0,1110150018010,2900000188587,4251020ﾋｮｳﾛｺﾞﾍﾞﾃｨPK,株式会社リブラボ,TC,BLACK,1400.00,1,1799,179,10,1799,179,1,1799,179,1,1978,179,0,0,0,0,0,0,0,0,0,2000,2026/02/08 19:54:05
4301442,2,2,20260208,1,01001009,FUN千葉C-one,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,2000,2026/02/08 19:54:05
4301441,1,1,20260208,1,01001042,FUNイオンモール大高,0,1109123074741,2900000134201,F-0101DｽﾄﾚｰﾄﾍﾞﾙﾄPT,株式会社フラワージーンズ,TC,IND,1370.00,1,2999,299,10,2999,299,1,2999,299,1,3298,299,0,0,0,0,0,0,0,0,0,3298,2026/02/08 19:51:37
4301439,1,1,20260208,1,01001028,FUNスマーク伊勢崎,0,1105156006130,2900000191419,TR-013ﾚｰｽﾚｲﾔｰﾄﾞAS,株式会社グッドクローズ,TC,IV,1140.00,1,3399,339,10,3399,339,1,3399,339,1,3739,340,0,0,0,0,0,0,0,0,0,20000,2026/02/08 19:50:45
4301439,2,2,20260208,1,01001028,FUNスマーク伊勢崎,0,1502014002130,2900000191013,216077ｴﾘﾚｰｽCD,サンフォード株式会社,ガーリー,IV,1160.00,1,2599,259,10,2599,259,1,2599,259,1,2859,260,0,0,0,0,0,0,0,0,0,20000,2026/02/08 19:50:45
4301439,3,3,20260208,1,01001028,FUNスマーク伊勢崎,0,1109123074715,2900000160569,F-0101DｽﾄﾚｰﾄﾍﾞﾙﾄPT,株式会社フラワージーンズ,TC,BLUE,1370.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,20000,2026/02/08 19:50:45
4301439,4,4,20260208,1,01001028,FUNスマーク伊勢崎,0,1501022019010,2900000191457,37108TNﾘﾎﾞﾝｶﾞﾗOP,株式会社谷口企画,ガーリー,BLACK,1380.00,1,3599,359,10,3599,359,1,3599,359,1,3958,359,0,0,0,0,0,0,0,0,0,20000,2026/02/08 19:50:45
4301439,5,5,20260208,1,01001028,FUNスマーク伊勢崎,0,1505151005130,2900000192348,780507ﾌｸﾚﾛｺﾞCS,株式会社パボ,ガーリー,IV,780.00,1,2399,239,10,2399,239,1,2399,239,1,2639,240,0,0,0,0,0,0,0,0,0,20000,2026/02/08 19:50:45
4301438,1,1,20260208,1,01001048,FUNららぽーと新三郷,0,1109123073012,2900000131699,F-0036CﾎﾞﾀﾝｽｷﾆｰPT,株式会社フラワージーンズ,TC,BLACK,1080.00,1,2399,239,10,2399,239,1,2399,239,1,2638,239,0,0,0,0,0,0,0,0,0,2638,2026/02/08 19:52:50
4301437,1,1,20260208,1,01001052,FUNイオンモール四條畷,0,1513015004130,2900000194007,332393ﾁｪｰﾝ2WAYSD,株式会社リボーンカンパニー,ガーリー,IV,1360.00,1,3599,359,10,3599,359,1,3599,359,1,3958,359,0,0,0,0,0,0,0,0,0,7730,2026/02/08 19:50:28
4301437,2,2,20260208,1,01001052,FUNイオンモール四條畷,0,1504014008130,2900000191051,215958ﾗﾒｶﾀﾘﾎﾞﾝKT,サンフォード株式会社,ガーリー,IV,1001.00,1,3399,339,10,3399,339,1,3399,339,1,3739,340,0,0,0,0,0,0,0,0,0,7730,2026/02/08 19:50:28
4301437,3,3,20260208,1,01001052,FUNイオンモール四條畷,0,9998998013114,2900000103832,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞL,その他,***,WH,22.00,0,30,3,10,30,3,1,30,3,1,33,3,0,0,0,0,0,0,0,0,0,7730,2026/02/08 19:50:28
4301436,1,1,20260208,1,01001036,FUNイオンレイクタウン,0,1502014002130,2900000191013,216077ｴﾘﾚｰｽCD,サンフォード株式会社,ガーリー,IV,1160.00,1,2599,259,10,2599,259,1,2599,259,1,2859,260,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301436,2,2,20260208,1,01001036,FUNイオンレイクタウン,0,1504014011130,2900000192355,216079ﾘﾎﾞﾝﾊﾟｲﾙｼﾞｬｶﾞｰﾄﾞKT,サンフォード株式会社,ガーリー,IV,1195.00,1,1999,199,10,1999,199,1,1999,199,1,2199,200,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301436,3,3,20260208,1,01001036,FUNイオンレイクタウン,0,1504157004130,2900000191839,fun-0010ﾋﾞｼﾞｭｹｰﾌﾞﾙKT,株式会社feast,ガーリー,IV,1130.00,1,1399,139,10,1399,139,1,1399,139,1,1539,140,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301436,4,4,20260208,1,01001036,FUNイオンレイクタウン,0,1105149022720,2900000194564,460043ｼﾞｯﾌﾟﾗﾒPO,株式会社FUSION,TC,NV,850.00,1,2399,239,10,2399,239,1,2399,239,1,2639,240,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301436,5,5,20260208,1,01001036,FUNイオンレイクタウン,0,1110145020720,2900000191600,140505ﾗﾋﾞｯﾄﾄﾘｵPO,株式会社クロスツー,TC,NV,1050.00,1,2599,259,10,2599,259,1,2599,259,1,2858,259,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301436,6,6,20260208,1,01001036,FUNイオンレイクタウン,0,9998998013114,2900000103832,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞL,その他,***,WH,22.00,0,30,3,10,30,3,1,30,3,1,33,3,0,0,0,0,0,0,0,0,0,12127,2026/02/08 19:51:26
4301435,1,1,20260208,1,01001009,FUN千葉C-one,0,1109122013653,2900000188143,115kJ602ｽﾄｰﾝﾛｺﾞPT,株式会社ＴｒｅｅＴｕｍｂｏ,TC,Camouflage,1050.00,1,1599,159,10,1599,159,1,1599,159,1,1758,159,0,0,0,0,0,0,0,0,0,1758,2026/02/08 19:47:57
4301433,1,1,20260208,1,01001052,FUNイオンモール四條畷,0,1103120062410,2900000192775,280725-15ｽｴﾎﾟﾝJK,株式会社ワンズアーク,TC,PI,1430.00,1,3999,399,10,3999,399,1,3999,399,1,4398,399,0,0,0,0,0,0,0,0,0,4398,2026/02/08 19:48:23
4301432,1,1,20260208,1,01001052,FUNイオンモール四條畷,0,1110149022120,2900000194649,450722ﾑﾗﾗﾒｼｼｭｳPK,株式会社FUSION,TC,OFF,1250.00,1,3399,339,10,3399,339,1,3399,339,1,3739,340,0,0,0,0,0,0,0,0,0,18068,2026/02/08 19:46:10
4301432,2,2,20260208,1,01001052,FUNイオンモール四條畷,0,1109149001123,2900000194601,450723ﾑﾗﾗﾒｽｳｪｯﾄPT,株式会社FUSION,TC,OFF,950.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,18068,2026/02/08 19:46:10
4301432,3,3,20260208,1,01001052,FUNイオンモール四條畷,0,1504080024910,2900000191969,TR-0330ｹｰﾌﾞﾙﾌｰﾄﾞKT,株式会社ケイスタイル,ガーリー,GRAY,1180.00,1,2999,299,10,2999,299,1,2999,299,1,3299,300,0,0,0,0,0,0,0,0,0,18068,2026/02/08 19:46:10
4301432,4,4,20260208,1,01001052,FUNイオンモール四條畷,0,1512122001743,2900000192164,WW651-005JKXSKｾｯﾄ,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,IND,2500.00,1,6999,699,10,6999,699,1,6999,699,1,7698,699,0,0,0,0,0,0,0,0,0,18068,2026/02/08 19:46:10
4301432,5,5,20260208,1,01001052,FUNイオンモール四條畷,0,9998998013114,2900000103832,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞL,その他,***,WH,22.00,0,30,3,10,30,3,1,30,3,1,33,3,0,0,0,0,0,0,0,0,0,18068,2026/02/08 19:46:10
4301431,1,1,20260208,1,01001053,FUNイオンモール高崎,0,1509122002012,2900000194441,T6039ﾋﾞｯﾄｷｭﾛｯﾄ,株式会社ＴｒｅｅＴｕｍｂｏ,ガーリー,BLACK,1140.00,1,2999,299,10,2999,299,1,2999,299,1,3298,299,0,0,0,0,0,0,0,0,0,6059,2026/02/08 19:40:28
4301431,2,2,20260208,1,01001053,FUNイオンモール高崎,0,1504080022410,2900000185005,TR-0317ﾗﾒﾘﾎﾞﾝKT,株式会社ケイスタイル,ガーリー,PI,1050.00,1,2399,239,10,2399,239,1,2399,239,1,2639,240,0,0,0,0,0,0,0,0,0,6059,2026/02/08 19:40:28
4301431,3,3,20260208,1,01001053,FUNイオンモール高崎,0,9998998012113,2900000103825,NｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞM,その他,***,WH,11.00,0,20,2,10,20,2,1,20,2,1,22,2,0,0,0,0,0,0,0,0,0,6059,2026/02/08 19:40:28
